"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test is verifying that a user can do registration with specified fields.","71","User registration","tests.user","Sat Feb 21 04:37:59 UTC 2026","passed","Sat Feb 21 04:37:59 UTC 2026","TestUserOperations","test_user_operations","",""
"Test is verifying that a user can do registration with specified fields.","344","User registration","tests.user","Sat Feb 21 04:37:59 UTC 2026","passed","Sat Feb 21 04:37:59 UTC 2026","TestUserOperations","test_user_operations","",""
