"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test is verifying that a user can do registration with specified fields.","31","User registration","tests.user","Sun Jan 25 22:01:15 UTC 2026","failed","Sun Jan 25 22:01:15 UTC 2026","TestUserOperations","test_user_operations","",""
"Test is verifying that a user can do registration with specified fields.","397","User registration","tests.user","Sun Jan 25 22:01:15 UTC 2026","failed","Sun Jan 25 22:01:15 UTC 2026","TestUserOperations","test_user_operations","",""
